Plot,Depth,Depth1,Treatment,Heat,N,RootType,Biomass
1,0-10cm,Mineral,Control,0,0,TRB,133.8818118
2,0-10cm,Mineral,Heated,1,0,TRB,62.77423921
3,0-10cm,Mineral,Heated x N,1,1,TRB,48.60226469
4,0-10cm,Mineral,Heated x N,1,1,TRB,82.2009908
5,0-10cm,Mineral,Heated,1,0,TRB,35.03184713
6,0-10cm,Mineral,Nitrogen,0,1,TRB,107.6963907
7,0-10cm,Mineral,Heated x N,1,1,TRB,92.46284501
8,0-10cm,Mineral,Heated,1,0,TRB,62.78485491
9,0-10cm,Mineral,Nitrogen,0,1,TRB,85.86341118
10,0-10cm,Mineral,Heated x N,1,1,TRB,40.46355273
11,0-10cm,Mineral,Nitrogen,0,1,TRB,156.6348196
12,0-10cm,Mineral,Control,0,0,TRB,115.7289455
13,0-10cm,Mineral,Heated,1,0,TRB,105.1132343
14,0-10cm,Mineral,Control,0,0,TRB,61.71266808
15,0-10cm,Mineral,Heated x N,1,1,TRB,77.76008492
16,0-10cm,Mineral,Nitrogen,0,1,TRB,71.28450106
17,0-10cm,Mineral,Heated x N,1,1,TRB,55.60863411
18,0-10cm,Mineral,Heated,1,0,TRB,28.14932767
19,0-10cm,Mineral,Control,0,0,TRB,57.89101203
20,0-10cm,Mineral,Control,0,0,TRB,129.6886058
21,0-10cm,Mineral,Nitrogen,0,1,TRB,126.6454353
23,0-10cm,Mineral,Nitrogen,0,1,TRB,41.31280963
24,0-10cm,Mineral,Control,0,0,TRB,101.9462137
1,10-20cm,Mineral,Control,0,0,TRB,69.9398443
2,10-20cm,Mineral,Heated,1,0,TRB,38.75492872
3,10-20cm,Mineral,Heated x N,1,1,TRB,9.961075725
4,10-20cm,Mineral,Heated x N,1,1,TRB,45.50601557
5,10-20cm,Mineral,Heated,1,0,TRB,22.78839349
6,10-20cm,Mineral,Nitrogen,0,1,TRB,45.03336367
7,10-20cm,Mineral,Heated x N,1,1,TRB,25.74309978
8,10-20cm,Mineral,Heated,1,0,TRB,83.70488322
9,10-20cm,Mineral,Nitrogen,0,1,TRB,
10,10-20cm,Mineral,Heated x N,1,1,TRB,8.510261854
11,10-20cm,Mineral,Nitrogen,0,1,TRB,96.35527247
12,10-20cm,Mineral,Control,0,0,TRB,41.79071642
13,10-20cm,Mineral,Heated,1,0,TRB,66.59589525
14,10-20cm,Mineral,Control,0,0,TRB,58.77565464
15,10-20cm,Mineral,Heated x N,1,1,TRB,32.27176221
16,10-20cm,Mineral,Nitrogen,0,1,TRB,112.485256
17,10-20cm,Mineral,Heated x N,1,1,TRB,92.48053787
18,10-20cm,Mineral,Heated,1,0,TRB,49.45152158
19,10-20cm,Mineral,Control,0,0,TRB,86.96036801
20,10-20cm,Mineral,Control,0,0,TRB,47.40799717
21,10-20cm,Mineral,Nitrogen,0,1,TRB,34.84024649
23,10-20cm,Mineral,Nitrogen,0,1,TRB,50.32255431
24,10-20cm,Mineral,Control,0,0,TRB,70.7891012
